Dates,30DAY_IMPVOL_80%MNY_DF,30DAY_IMPVOL_90.0%MNY_DF,30DAY_IMPVOL_95.0%MNY_DF,30DAY_IMPVOL_97.5%MNY_DF,30DAY_IMPVOL_100.0%MNY_DF,30DAY_IMPVOL_102.5%MNY_DF,30DAY_IMPVOL_105.0%MNY_DF,30DAY_IMPVOL_110.0%MNY_DF,30DAY_IMPVOL_120%MNY_DF,60DAY_IMPVOL_80%MNY_DF,60DAY_IMPVOL_90.0%MNY_DF,60DAY_IMPVOL_95.0%MNY_DF,60DAY_IMPVOL_97.5%MNY_DF,60DAY_IMPVOL_100.0%MNY_DF,60DAY_IMPVOL_102.5%MNY_DF,60DAY_IMPVOL_105.0%MNY_DF,60DAY_IMPVOL_110.0%MNY_DF,60DAY_IMPVOL_120%MNY_DF,3MTH_IMPVOL_80%MNY_DF,3MTH_IMPVOL_90.0%MNY_DF,3MTH_IMPVOL_95.0%MNY_DF,3MTH_IMPVOL_97.5%MNY_DF,3MTH_IMPVOL_100.0%MNY_DF,3MTH_IMPVOL_102.5%MNY_DF,3MTH_IMPVOL_105.0%MNY_DF,3MTH_IMPVOL_110.0%MNY_DF,3MTH_IMPVOL_120%MNY_DF,6MTH_IMPVOL_80%MNY_DF,6MTH_IMPVOL_90.0%MNY_DF,6MTH_IMPVOL_95.0%MNY_DF,6MTH_IMPVOL_97.5%MNY_DF,6MTH_IMPVOL_100.0%MNY_DF,6MTH_IMPVOL_102.5%MNY_DF,6MTH_IMPVOL_105.0%MNY_DF,6MTH_IMPVOL_110.0%MNY_DF,6MTH_IMPVOL_120%MNY_DF,12MTH_IMPVOL_80%MNY_DF,12MTH_IMPVOL_90.0%MNY_DF,12MTH_IMPVOL_95.0%MNY_DF,12MTH_IMPVOL_97.5%MNY_DF,12MTH_IMPVOL_100.0%MNY_DF,12MTH_IMPVOL_102.5%MNY_DF,12MTH_IMPVOL_105.0%MNY_DF,12MTH_IMPVOL_110.0%MNY_DF,12MTH_IMPVOL_120%MNY_DF,18MTH_IMPVOL_80%MNY_DF,18MTH_IMPVOL_90.0%MNY_DF,18MTH_IMPVOL_95.0%MNY_DF,18MTH_IMPVOL_97.5%MNY_DF,18MTH_IMPVOL_100.0%MNY_DF,18MTH_IMPVOL_102.5%MNY_DF,18MTH_IMPVOL_105.0%MNY_DF,18MTH_IMPVOL_110.0%MNY_DF,18MTH_IMPVOL_120%MNY_DF,24MTH_IMPVOL_80%MNY_DF,24MTH_IMPVOL_90.0%MNY_DF,24MTH_IMPVOL_95.0%MNY_DF,24MTH_IMPVOL_97.5%MNY_DF,24MTH_IMPVOL_100.0%MNY_DF,24MTH_IMPVOL_102.5%MNY_DF,24MTH_IMPVOL_105.0%MNY_DF,24MTH_IMPVOL_110.0%MNY_DF,24MTH_IMPVOL_120%MNY_DF
4/1/2016,31.4422,20.4818,15.7749,13.5518,11.1926,8.7991,8.668,12.3428,13.0078,26.5925,19.4415,16.0189,14.2065,12.2212,10.1965,8.6133,10.1679,11.635,26.1421,19.9456,16.8431,15.198,13.4466,11.6716,9.9704,9.5051,12.055,24.5899,19.8428,17.4437,16.2033,14.926,13.6648,12.4024,10.221,9.9604,23.3601,19.8113,17.9994,17.0753,16.1522,15.2126,14.2831,12.5551,10.1802,22.9254,19.9883,18.5193,17.7798,17.0278,16.2892,15.5546,14.1725,11.8507,22.6374,20.1359,18.9134,18.3122,17.681,17.0812,16.4947,15.3507,13.3202
4/4/2016,32.3816,21.0527,16.4633,14.4232,12.1854,9.7695,9.1445,12.4163,13.2117,27.3005,20.1152,16.8503,15.1179,13.2333,11.2011,9.5836,10.3255,13.1687,26.5295,20.4691,17.426,15.8205,14.141,12.3558,10.6431,9.7217,12.0596,24.9827,20.2713,17.8752,16.6493,15.3993,14.1263,12.8524,10.648,10.4456,23.6466,20.1066,18.3147,17.3977,16.4764,15.5443,14.6175,12.8522,10.4868,23.1402,20.2136,18.7481,18.015,17.2843,16.5471,15.8219,14.4108,12.0997,22.8203,20.33,19.1046,18.4937,17.8915,17.2888,16.7016,15.5572,13.54
4/5/2016,32.8637,22.0677,17.643,15.6324,13.4519,11.2138,9.7895,12.3206,12.3206,28.1957,21.348,18.0252,16.2139,14.3315,12.4393,10.6128,10.5347,11.846,27.6468,21.589,18.4849,16.8477,15.1555,13.365,11.6225,10.0493,11.4253,25.8075,21.0743,18.6513,17.3987,16.1475,14.881,13.5912,11.2675,10.789,24.2605,20.6852,18.8764,17.948,17.0925,16.158,15.2188,13.4242,10.9671,23.6422,20.6857,19.1993,18.4412,17.8348,17.0919,16.3427,14.9319,12.5537,23.2521,20.7511,19.504,18.8611,18.3484,17.7543,17.1416,15.9772,13.9185
4/6/2016,32.3115,20.9377,16.4275,14.4957,12.2162,9.9239,8.8714,11.5959,11.5959,27.3145,20.3546,16.9777,15.183,13.3107,11.2964,9.5087,10.1234,11.1488,26.8199,20.6934,17.531,15.8836,14.1843,12.4018,10.5996,9.5381,11.4297,25.1782,20.4202,18.0005,16.7559,15.5012,14.209,12.9107,10.6815,10.4373,23.8702,20.2717,18.4527,17.5157,16.5962,18.5635,14.7233,12.9699,10.6064,23.3492,20.3742,18.9054,18.1447,17.4264,24.6096,15.9572,14.5489,12.223,22.9935,20.4688,19.2367,18.6073,18.0355,17.4445,16.8486,15.6908,13.6485
4/7/2016,33.5882,22.963,18.5421,16.4382,14.1363,11.4923,9.7613,11.6225,11.797,28.9461,22.1242,18.6895,16.8762,14.8828,12.6971,10.719,10.1824,12.583,28.2948,22.1995,19.0501,17.3861,15.6128,13.6918,11.8102,9.8329,12.0666,26.3419,21.5815,19.1399,17.8779,16.5579,15.2273,13.9231,11.5224,10.4038,24.7194,21.1258,19.2961,18.3589,17.4231,16.4815,15.5461,13.7703,11.2266,24.0208,21.0515,19.5594,18.822,18.1273,17.4052,16.6766,15.2567,12.8713,23.5757,21.063,19.8167,19.1972,18.6367,18.0572,17.4823,16.3173,14.2314
4/8/2016,33.211,22.2815,17.7483,15.6201,13.3155,10.6509,9.027,11.533,11.533,28.3585,21.5296,18.102,16.2572,14.2732,12.0721,10.0498,9.9681,11.4779,27.7854,21.7048,18.5333,16.866,15.1032,13.1977,11.2494,9.4799,10.4144,26.0277,21.2539,18.8076,17.5283,16.2524,14.9302,13.5878,11.1819,10.2281,24.4995,20.8969,19.068,18.1348,17.2105,16.2624,15.3229,13.545,11.098,23.8355,20.8712,19.3666,18.6088,17.902,17.1492,16.4183,15.0011,12.6638,23.391,20.8728,19.6205,18.9936,18.4102,17.8069,17.2112,16.0525,14.016
4/11/2016,33.6288,22.7579,18.4746,16.3486,12.9192,11.6778,9.9052,12.4371,12.596,28.9177,22.0641,18.6554,16.8191,14.856,12.7975,10.7896,10.5145,12.8426,28.2577,22.1546,19.0101,17.3438,15.5781,13.7527,11.8148,9.7253,11.4409,26.3164,21.5813,19.1455,17.8787,16.6383,15.3464,14.0061,11.5069,10.4402,24.7383,21.1585,19.3388,18.4236,17.4816,16.5395,15.5962,13.8016,11.2601,24.0092,21.0596,19.5891,18.8468,18.0866,17.3316,16.6,15.1881,12.8142,23.5343,21.039,19.8136,19.2024,18.5648,17.953,17.3637,16.2116,14.1914
4/12/2016,32.9883,21.7899,17.2643,15.1051,12.757,10.3286,9.0735,12.2326,12.5526,28.1694,21.2288,17.7874,15.9262,13.897,11.78,9.8195,10.0731,12.4068,27.5394,21.3629,18.1815,16.4926,14.7225,12.8391,10.8839,9.5246,10.3087,25.7461,21.0078,18.5633,17.2904,16.0067,14.6968,13.3306,10.8616,10.1605,24.2784,20.7027,18.8804,17.9492,17.0113,16.0716,15.1298,13.3407,10.8408,23.5995,20.6612,19.1896,18.4434,17.706,16.9576,16.2206,14.797,12.4358,23.1327,20.64,19.4155,18.8004,18.1952,17.5933,16.9999,15.8557,13.8085
4/13/2016,32.4806,21.1574,16.2913,14.0309,11.631,9.3626,9.165,13.3205,13.7919,27.728,20.395,16.8966,15.0268,13.0226,10.9748,9.2735,10.5185,12.8175,26.8542,20.5821,17.3798,15.7137,13.9518,12.0921,10.2518,9.6476,11.0989,25.1706,20.4209,17.9868,16.7188,15.4328,14.1264,12.7644,10.4096,10.1462,23.846,20.2667,18.4325,17.5024,16.5681,15.6459,14.7046,12.9296,10.4147,23.1982,20.2646,18.7567,18.0239,17.2863,16.5903,15.8452,14.4266,12.0168,22.7618,20.2679,19.0073,18.3995,17.8077,17.2779,16.6722,15.4955,13.4119
4/14/2016,32.1439,21.1634,16.2534,13.9953,11.533,9.2244,9.2434,13.3149,13.7367,27.7371,20.4108,16.8633,14.968,12.9241,10.8828,9.4529,10.7781,13.6776,26.9488,20.5774,17.3469,15.6711,13.8704,11.9832,10.2406,9.9268,11.5766,25.1795,20.4041,17.9615,16.7027,15.401,14.0801,12.7421,10.5057,10.7005,23.858,20.2756,18.4491,17.5204,16.5731,15.6153,14.687,12.9439,10.555,23.2156,20.2673,18.7894,18.0472,17.2899,16.5398,15.817,14.4124,12.0369,22.7909,20.2876,19.0537,18.4344,17.82,17.2199,16.6237,15.4642,13.4015
